LINK,CITY,title,location,price_text,PRICE_USD,area_text,CONSTRUCTION_AREA_SQM,BEDROOMS,BATHROOMS,PARKING_SPOTS,page_number,scraped_at,LATITUDE,LONGITUDE,COORDINATE_SOURCE
https://www.plusvalia.com/propiedades/clasificado/veclcain-kanda-inmobliaria-vende-bosque-casa-de-lujo-4-dorm.-150323254.html,Quito,USD 579.000,"El Bosque El Bosque , Quito",USD 579.000 USD 1 Alícuota,579.0,640 m²,640.0,6.0,6.0,4.0,1,2026-07-28 09:12:12,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-tu-nuevo-hogar-en-pomasqui-te-espera-143829482.html,Quito,USD 41.000,"CATEQUILLA E5-201 Y PASAJE BERMUDE 2 Pomasqui, Quito",USD 41.000 USD 20 Alícuota,41.0,66 m²,66.0,2.0,1.0,,1,2026-07-28 09:12:12,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-venta-y-renta-ideal-para-vivienda-o-negocio-143590838.html,Quito,USD 372.000,"Sangolqui Sangolqui, Quito",USD 372.000,372.0,735 m²,735.0,4.0,4.0,,1,2026-07-28 09:12:13,,,
https://www.plusvalia.com/propiedades/proyecto/ememhoin-brezia-el-mejor-proyecto-en-via-a-la-costa-casas-54440843.html,Guayaquil,Casas y departamentos desde USD 176.655,"Casas, Departamentos, Terrenos en, Km. 13.5 Vía a la Costa Vía a la Costa, Guayaquil",Casas y departamentos desde USD 176.655,176.655,185 m²,185.0,3.0,4.0,,1,2026-07-29 15:10:07,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-por-estrenar-en-venta-con-4-habitaciones-en-150613213.html,Guayaquil,USD 358.000,"Ciudad Celeste - Isla Celeste Estribor Samborondón, Guayaquil",USD 358.000 USD 85 Alícuota,358.0,271 m²,271.0,4.0,4.0,,1,2026-07-29 15:10:08,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-propiedad-en-venta-en-cdla.-luis-vernaza-norte-cerca-148177088.html,Guayaquil,USD 260.000,"1° PASAJE 1NE Norte de Guayaquil, Guayaquil",USD 260.000,260.0,190 m²,190.0,7.0,6.0,,1,2026-07-29 15:10:08,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-venta-casa-moderna-piscina-isla-mocoli-samborondon-150539225.html,Guayaquil,USD 520.000,"Venta Casa Moderna 3 Dormt + Estudio Piscina Isla Mocoli Samborondon (kar) Isla Mocolí, Guayaquil",USD 520.000 USD 250 Alícuota,520.0,600 m²,600.0,3.0,4.0,,1,2026-07-29 15:10:08,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-de-venta-e-guayacanes-1ra-etapa-1-planta-4-149852029.html,Guayaquil,USD 88.000,"Guayacanes Norte de Guayaquil, Guayaquil",USD 88.000,88.0,140 m²,140.0,4.0,3.0,,1,2026-07-29 15:10:09,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-goleta-alcance-venta-comoda-casa-148123614.html,Guayaquil,USD 220.000,"Av. Francisco de Orellana Norte de Guayaquil, Guayaquil",USD 220.000 USD 100 Alícuota,220.0,201 m²,201.0,3.0,4.0,,1,2026-07-29 15:10:09,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-hermosa-casa-con-vista-al-rio-primeros-kilom-de-la-via-90832438.html,Guayaquil,USD 1.100.000,"Samborondon Samborondón, Guayaquil",USD 1.100.000,1100000.0,1450 m²,1450.0,5.0,5.0,,1,2026-07-29 15:10:09,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-mocoli-urbanizacion-lisola-proyecto-de-casa-por-150596770.html,Guayaquil,USD 539.500,"URBANIZACIÓN L´ISOLA Samborondón, Guayaquil",USD 539.500,539.5,564 m²,564.0,4.0,4.0,,1,2026-07-29 15:10:09,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-vendo-casa-frente-al-lago-en-laguna-club-guayaquil-150319889.html,Guayaquil,USD 933.000,"Laguna Club Vía a la Costa, Guayaquil",USD 933.000 USD 265 Alícuota,933.0,805 m²,805.0,5.0,5.0,,1,2026-07-29 15:10:09,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-de-350-m-sup2--con-4-habitaciones-en-venta-via-a-63342205.html,Guayaquil,USD 280.000,"CEIBOS NORTE Vía a la Costa, Guayaquil",USD 280.000 USD 75 Alícuota,280.0,350 m²,350.0,4.0,4.0,,1,2026-07-29 15:10:10,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-venta-estancias-del-rio-con-440-m-sup2--de-149105167.html,Guayaquil,USD 339.000,"Estancias del rio Samborondón, Guayaquil",USD 339.000,339.0,440 m²,440.0,3.0,3.0,,1,2026-07-29 15:10:10,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-hermosa-casa-en-venta-urbanizacion-isla-celeste-147119041.html,Guayaquil,USD 355.000,"URBANIZACION ISLA CELESTE Samborondón, Guayaquil",USD 355.000 USD 100 Alícuota,355.0,255 m²,255.0,3.0,4.0,,1,2026-07-29 15:10:10,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-se-vende-casa-en-los-parques-sector-ceibos-148529961.html,Guayaquil,USD 309.500,"URB. LOS PARQUES SECTOR CEIBOS Los Ceibos, Guayaquil",USD 309.500 USD 220 Alícuota,309.5,567 m²,567.0,3.0,3.0,,1,2026-07-29 15:10:10,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-venta-casa-urb.-rio-grande-samborondon-4-dorm.-2-149086507.html,Guayaquil,USD 620.000,"Rio Grande Samborondón, Guayaquil",USD 620.000 USD 297 Alícuota,620.0,608 m²,608.0,4.0,4.0,,1,2026-07-29 15:10:10,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-villa-al-rio-1800-m-terreno-1000-const-primeros-kilom-146003881.html,Guayaquil,USD 1.500.000,"KM 1.5 VIA SAMBORONDON Samborondón, Guayaquil",USD 1.500.000 USD 550 Alícuota,1500000.0,1800 m²,1800.0,5.0,5.0,,1,2026-07-29 15:10:10,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-de-lujo-en-venta-en-aires-norte-samborondon.-148271255.html,Guayaquil,USD 424.900,"Villa en Venta en Aires Norte, Samborondón, de Estreno Samborondón, Guayaquil",USD 424.900,424.9,255 m²,255.0,4.0,4.0,,1,2026-07-29 15:10:11,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-de-venta-ceibos-santa-cecilia-urbanizacion-150534154.html,Guayaquil,USD 209.000,"Santa Cecilia Los Ceibos, Guayaquil",USD 209.000 USD 60 Alícuota,209.0,345 m²,345.0,3.0,3.0,,1,2026-07-29 15:10:11,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-venta-precio-de-oportunidad-en-proyecto-aires-146081376.html,Guayaquil,USD 396.000,"Urbanización Aires Norte, Km. 10 Via Samborondon Samborondón, Guayaquil",USD 396.000 USD 80 Alícuota,396.0,300 m²,300.0,4.0,4.0,,1,2026-07-29 15:10:11,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-ciudad-celeste-residencia-remodelada-en-venta-149446455.html,Guayaquil,USD 219.500,"CIUDAD CELESTE Samborondón, Guayaquil",USD 219.500,219.5,213 m²,213.0,3.0,3.0,,1,2026-07-29 15:10:11,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-plaza-lagos-increible-casa-147473824.html,Guayaquil,USD 1.150.000,"plaza lagos casa de lujo en venta Samborondón, Guayaquil",USD 1.150.000,1150000.0,750 m²,750.0,4.0,4.0,,1,2026-07-29 15:10:11,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-vendo-casa-de-una-planta-en-ciudad-celeste-150595058.html,Guayaquil,USD 275.000,"Km 8.5 Vía Samborondón Samborondón, Guayaquil",USD 275.000 USD 70 Alícuota,275.0,356 m²,356.0,3.0,4.0,,1,2026-07-29 15:10:11,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-samborondon-149867009.html,Guayaquil,USD 220.000,"Samborondon Samborondón, Guayaquil",USD 220.000,220.0,207 m²,207.0,2.0,2.0,,1,2026-07-29 15:10:12,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-venta-ciudad-celeste-4-dorm.-150532083.html,Guayaquil,USD 195.000,"Ciudad Celeste Samborondón, Guayaquil",USD 195.000,195.0,218 m²,218.0,4.0,5.0,,1,2026-07-29 15:10:12,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-venta-amplia-casa-lago-de-capeira-147914450.html,Guayaquil,USD 310.000,"Urbanización Lago de Capeira, Guayaquil, Ecuador Norte de Guayaquil, Guayaquil",USD 310.000,310.0,1733 m²,1733.0,3.0,5.0,,1,2026-07-29 15:10:12,,,
https://www.plusvalia.com/propiedades/clasificado/veclcain-venta-de-casa-en-bosques-de-la-costa-etapa-cimas-via-150285843.html,Guayaquil,USD 220.000,"Casa en Venta Bosques de la Costa, Etapa Cimas, CyP Vía a la Costa, Guayaquil",USD 220.000,220.0,180 m²,180.0,3.0,3.0,,1,2026-07-29 15:10:12,,,
